genotype	sample
BTx623	SRR20912171
BTx623	SRR20912172
BTx623	SRR20912173
BTx623	SRR20912174
BTx623	SRR20912175
BTx623	SRR20912176
BTx623	SRR20912177
BTx623	SRR20912178
BTx623	SRR20912179
BTx623	SRR20912180
BTx623	SRR20912181
BTx623	SRR20912182
BTx623	SRR20912183
BTx623	SRR20912184
BTx623	SRR20912185
BTx623	SRR20912186
BTx623	SRR20912187
BTx623	SRR20912188
BTx623	SRR20912189
BTx623	SRR20912190
RTx430	SRR11077809
RTx430	SRR9025322
RTx430	SRR11077696
RTx430	SRR11077614
RTx430	SRR11077580
RTx430	SRR11077779
RTx430	SRR10666276
RTx430	SRR9025216
RTx430	SRR11077617
RTx430	SRR11077717
RTx430	SRR9025332
RTx430	SRR11077563
RTx430	SRR10666207
RTx430	SRR9025275
RTx430	SRR11077620
RTx430	SRR9025425
RTx430	SRR11077764
RTx430	SRR9025270
RTx430	SRR11011838
RTx430	SRR11077653
BTx642	SRR10906294
BTx642	SRR10666371
BTx642	SRR9025933
BTx642	SRR9026110
BTx642	SRR9025982
BTx642	SRR9025860
BTx642	SRR10906295
BTx642	SRR10906348
BTx642	SRR9026127
BTx642	SRR10666396
BTx642	SRR10666378
BTx642	SRR10906375
BTx642	SRR10666434
BTx642	SRR10666399
BTx642	SRR10666476
BTx642	SRR10666429
BTx642	SRR9025966
BTx642	SRR9025924
BTx642	SRR10666442
BTx642	SRR10666503
della	SRR19383836
della	SRR19383837
della	SRR19383838
della	SRR19383839
della	SRR19383840
della	SRR19383841
della	SRR19383842
della	SRR19383843
della	SRR19383844
della	SRR19383845
della	SRR19383846
della	SRR19383847
della	SRR19383848
della	SRR19383849
della	SRR19383850
della	SRR19383851
della	SRR19383852
della	SRR19383853
della	SRR19383854
della	SRR19383855
della	SRR19383856
della	SRR19383857
della	SRR19383858
keller	SRR8464871
keller	SRR8464872
keller	SRR8464873
keller	SRR8464874
keller	SRR8464875
keller	SRR8464876
keller	SRR8464877
keller	SRR8464878
keller	SRR8464879
keller	SRR8464880
keller	SRR8464881
keller	SRR8464882
keller	SRR8464883
keller	SRR8464884
keller	SRR8464885
keller	SRR8464886
keller	SRR8464887
keller	SRR8464888
keller	SRR8464889
keller	SRR8464890
rio	SRR6188828
rio	SRR6188829
rio	SRR6188846
rio	SRR6188847
rio	SRR6188848
rio	SRR6188849
rio	SRR6188850
rio	SRR6188851
rio	SRR6188852
rio	SRR6188853
rio	SRR6188854
rio	SRR6188855
